Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
78787381113-69,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,Paris,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Competition		Consumer Affairs		Employment and Social Affairs		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market",,900000-999999
042969910219-77,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,European,"Consumer Affairs		Enterprise		Environment		Internal Market		Research and Technology		Food Safety		Transport",,500000-599999
5262976881-39,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Finland,Helsinki,European,"Agriculture and Rural Development		Energy		Environment		Fisheries and Aquaculture		Regional Policy		Research and Technology		External Relations		Transport",,1000000-1249999
41320269830-56,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,Lecce,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Culture		Development		Education		Employment and Social Affairs		Environment		Youth		Justice and Fundamental Rights		Fisheries and Aquaculture		External Relations		Public Health		Food Safety		Information Society		Sport		Climate Action		Home Affairs		Communication",,0-9999
557161910311-83,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Belgium,Bruxelles,"European		global		national		regional/local","Humanitarian Aid		Culture		Development		Education		Youth		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Home Affairs",,0-9999
364565210333-78,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Malta,Rabat,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Culture		Education		Employment and Social Affairs		Enterprise		Environment		Youth		Regional Policy		Research and Technology		Trans-European Networks		Food Safety		Communication",,0-9999
696666910201-20,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Hungary,Budapest,"European		national","Economic and Financial Affairs		Competition		Employment and Social Affairs		Energy		Environment		Taxation		Climate Action",3000,
11862292564-53,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Denmark,Humlebaek,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Consumer Affairs		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		External Relations		Public Health		Communication",,100000-199999
168323412432-18,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Belgium,Kraainem,European,"General and Institutional Affairs		Consumer Affairs		Internal Market		Research and Technology		External Relations		Information Society		Climate Action		Communication",,0-9999
481938011214-14,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,MARSEILLAN,"European		global","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Consumer Affairs		Culture		Development		Enterprise		Environment		Taxation		Fisheries and Aquaculture		Regional Policy		Research and Technology		Public Health		Food Safety		Information Society		Climate Action",,100000-199999
268508011364-70,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Sweden,Stockholm,national,"Energy		Environment",,0-9999
288009010205-61,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,global,"Audiovisual and Media		Competition		Consumer Affairs		Culture		Internal Market		Public Health		Information Society",,25000-49999
943498910207-51,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Canada,Victoria,"European		global","Trade		Customs		Energy		Environment		Trans-European Networks		Transport",300000,
482897410370-35,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Canada,Downsview Ontario,"European		global		national","Budget		Energy		Enterprise		Environment		Taxation		Regional Policy		Research and Technology		Climate Action",,50000-99999
589234910197-33,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Germany,Frankfurt,global,"General and Institutional Affairs		Research and Technology		Trans-European Networks		Transport",30000,
055988310298-78,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,United Kingdom,Olney,"European		national		regional/local","Consumer Affairs		Customs		Employment and Social Affairs		Energy		Justice and Fundamental Rights		Internal Market		Public Health		Sport		Home Affairs",,0-9999
002586910023-70,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Finland,Vantaa,national,"Audiovisual and Media		Competition		Consumer Affairs		Culture		Youth		Justice and Fundamental Rights		Internal Market		Information Society		Sport",,0-9999
70699859911-88,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Belgium,Bruxelles,"European		global","General and Institutional Affairs		Humanitarian Aid		Budget		Competition		Development		Customs		Enlargement		Justice and Fundamental Rights		Foreign and Security Policy and Defence		External Relations		Food Safety		Transport		Home Affairs",,10000-24999
13083157825-94,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Norway,Sandvika,"European		global","Energy		Environment		Trans-European Networks		Transport		Climate Action",,25000-49999
488646910262-54,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Ochsenfurt,regional/local,"Agriculture and Rural Development		Environment		Transport",,10000-24999
072095010321-44,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Portugal,Oliveira do Hospital,global,"Economic and Financial Affairs		Agriculture and Rural Development		Trade		Development		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		Food Safety		Transport		Climate Action",,300000-399999
